Form__File,Filed,Filing_entityperson
SC 13G/A (Beneficial ownership report) ,2024-12-04,"Peak Bio, Inc.  (PKBO)  SBI INVESTMENT KOREA CO., LTD. "
SC 13D/A (Beneficial ownership report) ,2024-12-04,"BigBear.ai Holdings, Inc.  (BBAI, BBAI-WT)  BBAI Ultimate Holdings, LLC "
SC 13G (Beneficial ownership report) ,2024-12-04,"EBR Systems, Inc.  BCP3 Pty Ltd "
SC 13G (Beneficial ownership report) ,2024-12-04,"Cidara Therapeutics, Inc.  (CDTX)  Venrock Healthcare Capital Partners III, L.P. "
SC 13G (Beneficial ownership report) ,2024-12-04,NEVRO CORP  (NVRO)  Shay Capital LLC 
SC 13D/A (Beneficial ownership report) ,2024-12-04,"iQIYI, Inc.  (IQ)  Pacific Alliance Group Ltd "
SCHEDULE 13G (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-04,VivoPower International PLC  (VVPR)  Corley Thomas John 
SC 13D/A (Beneficial ownership report) ,2024-12-04,Invesco Trust for Investment Grade New York Municipals  (VTN)  BANK OF AMERICA CORP /DE/ 
SC 13D/A (Beneficial ownership report) ,2024-12-04,"BeiGene, Ltd.  (BGNE, BEIGF)  HHLR ADVISORS, LTD. "
SC 13D/A (Beneficial ownership report) ,2024-12-04,"Bain Capital Private Credit  Bain Capital SIP Investments, LP "
SC 13D/A (Beneficial ownership report) ,2024-12-04,LESAKA TECHNOLOGIES INC  (LSAK)  International Finance Corp 
SC 13G/A (Beneficial ownership report) ,2024-12-04,"Orgenesis Inc.  (ORGS)  JSAF Holdings, LLC "
SC 13D/A (Beneficial ownership report) ,2024-12-04,"Ranger Energy Services, Inc.  (RNGR)  Bayou Well Holdings Company, LLC "
SC 13G/A (Beneficial ownership report) ,2024-12-04,"Lyft, Inc.  (LYFT)  JPMORGAN CHASE & CO "
SC 13G/A (Beneficial ownership report) ,2024-12-04,FARMERS & MERCHANTS BANCORP  (FMCB)  CORTOPASSI PARTNERS LP 
SC 13D/A (Beneficial ownership report) ,2024-12-04,Nerdy Inc.  (NRDY)  Cohn Charles K. 
SC 13D/A (Beneficial ownership report) ,2024-12-04,QUAKER CHEMICAL CORP  (KWR)  Gulf Hungary Holding Korlatolt Felelossegu Tarsasag 
SC 13G/A (Beneficial ownership report) ,2024-12-04,QUANTUM CORP /DE/  (QMCO)  Neuberger Berman Group LLC 
SC 13G/A (Beneficial ownership report) ,2024-12-04,Aptiv PLC  (APTV)  JPMORGAN CHASE & CO 
SC 13D/A (Beneficial ownership report) ,2024-12-04,"Rush Street Interactive, Inc.  (RSI)  CARLIN GREGORY A "
SC 13G/A (Beneficial ownership report) ,2024-12-04,"Global Blockchain Acquisition Corp.  (GBBK, GBBKR, GBBKW)  Walleye Capital LLC "
SC 13G (Beneficial ownership report) ,2024-12-04,Tuya Inc.  (TUYA)  Anchor V Pte. Ltd. 
SC 13G/A (Beneficial ownership report) ,2024-12-04,"PSYENCE BIOMEDICAL LTD.  (PBM, PBMWW)  Harraden Circle Investments, LLC "
SC 13D/A (Beneficial ownership report) ,2024-12-04,"EYENOVIA, INC.  (EYEN)  Grant Stuart M. "
SC 13D/A (Beneficial ownership report) ,2024-12-04,Gildan Activewear Inc.  (GIL)  BROWNING WEST LP 
SC 13G/A (Beneficial ownership report) ,2024-12-04,VICOR CORP  (VICR)  JPMORGAN CHASE & CO 
SC 13D/A (Beneficial ownership report) ,2024-12-04,"REED'S, INC.  (REED)  Bello John "
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-04,"Option Care Health, Inc.  (OPCH)  WELLINGTON MANAGEMENT GROUP LLP "
SC 13D/A (Beneficial ownership report) ,2024-12-04,"Clear Channel Outdoor Holdings, Inc.  (CCO)  Legion Partners Asset Management, LLC "
SC 13G/A (Beneficial ownership report) ,2024-12-04,"SEELOS THERAPEUTICS, INC.  (SEEL, SEELQ)  AdvisorShares Trust "
SC 13D/A (Beneficial ownership report) ,2024-12-03,"LogicMark, Inc.  (LGMK)  Winvest Investment Fund Management Corp. "
SC 13D/A (Beneficial ownership report) ,2024-12-03,Cohen & Co Inc.  (COHN)  Brafman Lester Raymond 
SC 13D/A (Beneficial ownership report) ,2024-12-03,"Invesco Commercial Real Estate Finance Trust, Inc.  Invesco Realty, Inc. "
SC 13D/A (Beneficial ownership report) ,2024-12-03,"Farmers & Merchants Bancshares, Inc.  (FMFG)  RENBAUM BARRY J. "
SC 13D/A (Beneficial ownership report) ,2024-12-03,"SYLA Technologies Co., Ltd.  (SYT)  Sugimoto Hiroyuki "
SC 13D/A (Beneficial ownership report) ,2024-12-03,"Nuveen Core Plus Impact Fund  (NPCT)  Saba Capital Management, L.P. "
SC 13D/A (Beneficial ownership report) ,2024-12-03,KKR Real Estate Select Trust Inc.  KKR Alternative Assets LLC 
SCHEDULE 13G (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-03,Innovator ETFs Trust  Brookstone Capital Management 
SC 13D/A (Beneficial ownership report) ,2024-12-03,Cohen & Co Inc.  (COHN)  COHEN DANIEL G 
SC 13G/A (Beneficial ownership report) ,2024-12-03,Full Truck Alliance Co. Ltd.  (YMM)  SB INVESTMENT ADVISERS (UK) LTD 
SC 13D/A (Beneficial ownership report) ,2024-12-03,"SITE Centers Corp.  (SITC, SITC-PA)  Otto Alexander "
SC 13D/A (Beneficial ownership report) ,2024-12-03,"UNIVERSAL TECHNICAL INSTITUTE INC  (UTI)  Coliseum Capital Management, LLC "
SC 13G/A (Beneficial ownership report) ,2024-12-03,"ReTo Eco-Solutions, Inc.  (RETO)  Nova Horizons Ltd "
SC 13G (Beneficial ownership report) ,2024-12-03,"Summit Midstream Corp  (SMC)  Tall Oak Midstream Investments, LLC "
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-03,"FACT II Acquisition Corp.  (FACT, FACTU)  YA II PN, Ltd. "
SC 13D (Beneficial ownership report) ,2024-12-03,"Concentra Group Holdings Parent, Inc.  (CON, CON-WI)  ORTENZIO ROBERT A "
SC 13D/A (Beneficial ownership report) ,2024-12-03,"Fluent, Inc.  (FLNT)  GLOBAL VALUE INVESTMENT CORP. "
SC 13D (Beneficial ownership report) ,2024-12-03,"Summit Midstream Corp  (SMC)  Connect Midstream, LLC "
SC 13G/A (Beneficial ownership report) ,2024-12-03,AB Private Lending Fund  Equitable Financial Life Insurance Co 
SC 13G/A (Beneficial ownership report) ,2024-12-03,"22nd Century Group, Inc.  (XXII)  Reda Joseph "
SC 13D (Beneficial ownership report) ,2024-12-03,"Concentra Group Holdings Parent, Inc.  (CON, CON-WI)  ORTENZIO ROCCO A "
SC 13D/A (Beneficial ownership report) ,2024-12-03,"Rocket Lab USA, Inc.  (RKLB)  KHOSLA VENTURES SEED B, L.P. "
SC 13G (Beneficial ownership report) ,2024-12-03,"Autonomix Medical, Inc.  (AMIX)  Cavalry Fund I LP "
SC 13G/A (Beneficial ownership report) ,2024-12-03,"ReTo Eco-Solutions, Inc.  (RETO)  Hydrogen Capital Group Ltd "
SC 13G (Beneficial ownership report) ,2024-12-03,"Cidara Therapeutics, Inc.  (CDTX)  TCG Crossover GP II, LLC "
SC 13G/A (Beneficial ownership report) ,2024-12-03,Global X Funds  NEW YORK LIFE INVESTMENT MANAGEMENT LLC 
SC 13D/A (Beneficial ownership report) ,2024-12-03,"SYLA Technologies Co., Ltd.  (SYT)  Yuto Yoshiyuki "
SC 13G (Beneficial ownership report) ,2024-12-03,CYBIN INC.  (CYBN)  TANG CAPITAL MANAGEMENT LLC 
SC 13D/A (Beneficial ownership report) ,2024-12-03,"Exela Technologies, Inc.  (XELA, XELAP)  Rifles Trust "
SC 13G (Beneficial ownership report) ,2024-12-03,"Fusion Fuel Green PLC  (HTOO, HTOOW)  Ilustrato Pictures International Inc. "
SC 13G/A (Beneficial ownership report) ,2024-12-03,MARCUS CORP  (MCS)  GERSHOWITZ DIANE M 
SC 13D/A (Beneficial ownership report) ,2024-12-03,"CF BANKSHARES INC.  (CFBK)  Castle Creek Capital Partners VII, LP "
SC 13D (Beneficial ownership report) ,2024-12-03,SEATech Ventures Corp.  (SEAV)  Metita Sdn. Bhd. 
SC 13G/A (Beneficial ownership report) ,2024-12-03,"ReTo Eco-Solutions, Inc.  (RETO)  Token Technology Inc. "
SC 13D/A (Beneficial ownership report) ,2024-12-03,"Great Elm Group, Inc.  (GEG, GEGGL)  LONG BALL PARTNERS LLC "
SCHEDULE 13G (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-03,"RAADR, INC.  (RDAR)  Boot Capital LLC "
SC 13D (Beneficial ownership report) ,2024-12-03,BGM Group Ltd.  (BGM)  LX Management Co Ltd 
SC 13D/A (Beneficial ownership report) ,2024-12-03,"Dianthus Therapeutics, Inc. /DE/  (DNTH)  Avidity Partners Management LP "
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-03,Innovator ETFs Trust  Brookstone Capital Management 
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-03,NVE CORP /NEW/  (NVEC)  ROYCE & ASSOCIATES LP 
SC 13G (Beneficial ownership report) ,2024-12-03,BRIGHTCOVE INC  (BCOV)  Beryl Capital Management LLC 
SC 13G/A (Beneficial ownership report) ,2024-12-03,THUMZUP MEDIA Corp  (TZUP)  THOMAS JOE D 
SC 13D/A (Beneficial ownership report) ,2024-12-03,"Procaps Group, S.A.  (PROC, PROCW)  Hoche Partners Pharma Holding S.A. "
SC 13G (Beneficial ownership report) ,2024-12-02,NIP Group Inc.  (NIPG)  Seventh Hokage Management Ltd 
SC 13D/A (Beneficial ownership report) ,2024-12-02,OceanPal Inc.  (OP)  Abra Marinvest Inc. 
SC 13D/A (Beneficial ownership report) ,2024-12-02,PBF Energy Inc.  (PBF)  HELU CARLOS SLIM 
SC 13G (Beneficial ownership report) ,2024-12-02,NIP Group Inc.  (NIPG)  xiaOt Sun Holdings Ltd 
SC 13D/A (Beneficial ownership report) ,2024-12-02,OceanPal Inc.  (OP)  Anamar Investments Inc 
SC 13G/A (Beneficial ownership report) ,2024-12-02,Gulf Coast Ultra Deep Royalty Trust  (GULTU)  SUBIN NEIL S 
SC 13D (Beneficial ownership report) ,2024-12-02,"Neuraxis, INC  (NRXS)  Rosalind Advisors, Inc. "
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-02,ESG Inc.  (ESGH)  ALONZO CHRISTOPHER 
SC 13G/A (Beneficial ownership report) ,2024-12-02,"Bridgeline Digital, Inc.  (BLIN)  Jacobsen Per A. "
SC 13D/A (Beneficial ownership report) ,2024-12-02,Sleep Number Corp  (SNBR)  STADIUM CAPITAL MANAGEMENT LLC 
SC 13D/A (Beneficial ownership report) ,2024-12-02,"Better Home & Finance Holding Co  (BETR, BETRW)  Novator Capital Sponsor Ltd. "
SC 13D/A (Beneficial ownership report) ,2024-12-02,"ATI Physical Therapy, Inc.  (ATIP, ATIPW)  FIG Buyer GP, LLC "
SC 13D (Beneficial ownership report) ,2024-12-02,"DAKTRONICS INC /SD/  (DAKT)  Alta Fox Opportunities Fund, LP "
SC 13D/A (Beneficial ownership report) ,2024-12-02,"LINCOLN EDUCATIONAL SERVICES CORP  (LINC)  Juniper Investment Company, LLC "
SC 13G/A (Beneficial ownership report) ,2024-12-02,DULUTH HOLDINGS INC.  (DLTH)  ASKELADDEN CAPITAL MANAGEMENT LLC 
SC 13D/A (Beneficial ownership report) ,2024-12-02,OceanPal Inc.  (OP)  Papatrifon Eleftherios 
SC 13D/A (Beneficial ownership report) ,2024-12-02,"Latch, Inc.  (LTCH)  Siminoff James W "
SC 13G (Beneficial ownership report) ,2024-12-02,"Neuraxis, INC  (NRXS)  Rosalind Advisors, Inc. "
SC 13D/A (Beneficial ownership report) ,2024-12-02,Franklin BSP Private Credit Fund  FRANKLIN RESOURCES INC 
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-02,"Paymentus Holdings, Inc.  (PAY)  FRANKLIN RESOURCES INC "
SC 13G (Beneficial ownership report) ,2024-12-02,BloomZ Inc.  (BLMZ)  White Lion Capital LLC 
SC 13G (Beneficial ownership report) ,2024-12-02,"Vista Outdoor Inc.  (VSTO)  Gates Capital Management, Inc. "
SC 13D/A (Beneficial ownership report) ,2024-12-02,"SITE Centers Corp.  (SITC, SITC-PA)  Otto Alexander "
SC 13G/A (Beneficial ownership report) ,2024-12-02,THUMZUP MEDIA Corp  (TZUP)  THOMAS JOE D 
SC 13D (Beneficial ownership report) ,2024-12-02,Viking Holdings Ltd  (VIK)  Viking Capital Ltd 
SC 13D/A (Beneficial ownership report) ,2024-12-02,"Steel Connect, Inc.  (STCN)  STEEL PARTNERS HOLDINGS L.P. "
SC 13D/A (Beneficial ownership report) ,2024-12-02,FRANKLIN STREET PROPERTIES CORP /MA/  (FSP)  Converium Capital Inc. 
SC 13G (Beneficial ownership report) ,2024-12-02,"SS Innovations International, Inc.  (SSII)  Pai Ranjan R "
SC 13D/A (Beneficial ownership report) ,2024-12-02,OceanPal Inc.  (OP)  Tuscany Shipping Corp. 
SC 13G/A (Beneficial ownership report) ,2024-11-29,"UWM Holdings Corp  (UWMC, UWMC-WT)  Garvin Family Sports, L.L.C. "
SC 13D/A (Beneficial ownership report) ,2024-11-29,"Valaris Ltd  (VAL, VAL-WT)  Famatown Finance Ltd "
SC 13G/A (Beneficial ownership report) ,2024-11-29,"CHAIN BRIDGE BANCORP INC  (CBNA)  Gator Capital Management, LLC "
SC 13D/A (Beneficial ownership report) ,2024-11-29,Agrify Corp  (AGFY)  Chan I-Tseng Jenny 
SC 13D/A (Beneficial ownership report) ,2024-11-29,BGM Group Ltd.  (BGM)  Ahanzhai Development Ltd 
SC 13D/A (Beneficial ownership report) ,2024-11-29,"CompoSecure, Inc.  (CMPO, CMPOW)  Resolute Compo Holdings LLC "
SC 13D (Beneficial ownership report) ,2024-11-29,"EXICURE, INC.  (XCUR)  HiTron Systems Inc. "
SC 13D/A (Beneficial ownership report) ,2024-11-29,"Rocky Mountain Chocolate Factory, Inc.  (RMCF)  GLOBAL VALUE INVESTMENT CORP. "
SC 13D/A (Beneficial ownership report) ,2024-11-29,Agrify Corp  (AGFY)  Chang Raymond Nobu 
SC 13D/A (Beneficial ownership report) ,2024-11-29,DocGo Inc.  (DCGO)  VASHOVSKY STANLEY 
SC 13D/A (Beneficial ownership report) ,2024-11-29,CARRIER GLOBAL Corp  (CARR)  Viessmann Generations Group GmbH & Co. KG 
SC 13D/A (Beneficial ownership report) ,2024-11-29,Chemomab Therapeutics Ltd.  (CMMB)  Mor George Adi 
SC 13G (Beneficial ownership report) ,2024-11-29,Journey Medical Corp  (DERM)  TANG CAPITAL MANAGEMENT LLC 
SC 13D/A (Beneficial ownership report) ,2024-11-29,"STRATTEC SECURITY CORP  (STRT)  GAMCO INVESTORS, INC. ET AL "
SC 13D/A (Beneficial ownership report) ,2024-11-29,POTBELLY CORP  (PBPB)  180 DEGREE CAPITAL CORP. /NY/ 
SCHEDULE 13G (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-11-29,"FACT II Acquisition Corp.  (FACT)  YA II PN, Ltd. "
SC 13G (Beneficial ownership report) ,2024-11-29,"ENVIRI Corp  (NVRI)  D. E. SHAW & CO, L.P. "
SC 13G/A (Beneficial ownership report) ,2024-11-29,PolyPid Ltd.  (PYPD)  Nir Yehuda 
SC 13D/A (Beneficial ownership report) ,2024-11-29,"Golden Matrix Group, Inc.  (GMGI)  Goodman Anthony Brian "
SC 13D/A (Beneficial ownership report) ,2024-11-29,Applied Digital Corp.  (APLD)  Cummins Wes 
SCHEDULE 13D (Schedule filed to report acquisition of beneficial ownership of more than 5% of a class of equity securities) ,2024-11-29,"Liberty TripAdvisor Holdings, Inc.  (LTRPA, LTRPB)  Crimson Asset Management Ltd. "
SC 13G/A (Beneficial ownership report) ,2024-11-27,"Marqeta, Inc.  (MQ)  Granite Ventures II L P "
SC 13D/A (Beneficial ownership report) ,2024-11-27,"Weave Communications, Inc.  (WEAV)  CROSSLINK CAPITAL INC "
SC 13D/A (Beneficial ownership report) ,2024-11-27,"Independence Contract Drilling, Inc.  (ICDI)  Glendon Capital Management LP "
SC 13D/A (Beneficial ownership report) ,2024-11-27,"Citius Pharmaceuticals, Inc.  (CTXR)  Mazur Leonard L "
SC 13D/A (Beneficial ownership report) ,2024-11-27,"AUTONATION, INC.  (AN)  ESL PARTNERS, L.P. "
SC 13D (Beneficial ownership report) ,2024-11-27,"Exela Technologies, Inc.  (XELA, XELAP)  Chadha Ajit Singh "
SC 13D/A (Beneficial ownership report) ,2024-11-27,"EGAIN Corp  (EGAN)  Philotimo Fund, LP "
SC 13D (Beneficial ownership report) ,2024-11-27,"Sonder Holdings Inc.  (SOND, SONDW)  Gupta Prashant "
SC 13D/A (Beneficial ownership report) ,2024-11-27,Hilton Grand Vacations Inc.  (HGV)  Apollo Principal Holdings A GP Ltd 
SC 13D/A (Beneficial ownership report) ,2024-11-27,NEWMARKET CORP  (NEU)  GOTTWALD THOMAS E 
SC 13D/A (Beneficial ownership report) ,2024-11-27,"M-tron Industries, Inc.  (MPTI)  GAMCO INVESTORS, INC. ET AL "
SC 13G (Beneficial ownership report) ,2024-11-27,"CHAIN BRIDGE BANCORP INC  (CBNA)  Gator Capital Management, LLC "
SC 13G/A (Beneficial ownership report) ,2024-11-27,"Concentra Group Holdings Parent, Inc.  (CON, CON-WI)  SELECT MEDICAL CORP "
SC 13D (Beneficial ownership report) ,2024-11-27,"Exela Technologies, Inc.  (XELA, XELAP)  Beigam Trust "
SC 13D/A (Beneficial ownership report) ,2024-11-27,"Satellogic Inc.  (SATL, SATLW)  CANTOR FITZGERALD, L. P. "
SC 13D/A (Beneficial ownership report) ,2024-11-27,"ENVESTNET, INC.  (ENV)  BlackRock, Inc. "
SC 13D/A (Beneficial ownership report) ,2024-11-27,"Rush Street Interactive, Inc.  (RSI)  CARLIN GREGORY A "
SC 13D/A (Beneficial ownership report) ,2024-11-27,Playtika Holding Corp.  (PLTK)  Alpha Frontier Ltd 
SC 13D/A (Beneficial ownership report) ,2024-11-27,"BigBear.ai Holdings, Inc.  (BBAI, BBAI-WT)  BBAI Ultimate Holdings, LLC "
SC 13G (Beneficial ownership report) ,2024-11-27,"Autonomix Medical, Inc.  (AMIX)  CVI Investments, Inc. "
SC 13G (Beneficial ownership report) ,2024-11-27,"Vista Outdoor Inc.  (VSTO)  GLAZER CAPITAL, LLC "
SC 13D/A (Beneficial ownership report) ,2024-11-27,"P10, Inc.  (PX)  210 Capital, LLC "
SC 13G/A (Beneficial ownership report) ,2024-11-27,Gaotu Techedu Inc.  (GOTU)  Chen Xiangdong 
SC 13G (Beneficial ownership report) ,2024-11-27,"CO2 Energy Transition Corp.  (NOEM, NOEMU)  MMCAP International Inc. SPC "
SC 13G/A (Beneficial ownership report) ,2024-11-27,"Maris Tech Ltd.  (MTEK, MTEKW)  Leviticus Partners LP "
SC 13G (Beneficial ownership report) ,2024-11-27,"Century Therapeutics, Inc.  (IPSC)  Casdin Capital, LLC "
SC 13D/A (Beneficial ownership report) ,2024-11-27,"Poseida Therapeutics, Inc.  (PSTX)  Pentwater Capital Management LP "
SC 13D/A (Beneficial ownership report) ,2024-11-27,NEWMARKET CORP  (NEU)  GOTTWALD BRUCE C 
SC 13G/A (Beneficial ownership report) ,2024-11-27,"TMT Acquisition Corp.  (TMTC, TMTCR, TMTCU)  WOLVERINE ASSET MANAGEMENT LLC "
SC 13D/A (Beneficial ownership report) ,2024-11-27,"Twin Vee PowerCats, Co.  (VEEE)  Palm Management (US) LLC "
SC 13G/A (Beneficial ownership report) ,2024-11-27,"Neurogene Inc.  (NGNE)  Samsara BioCapital, L.P. "
SC 13D/A (Beneficial ownership report) ,2024-11-27,"Farmers & Merchants Bancshares, Inc.  (FMFG)  RENBAUM BARRY J. "
SC 13D/A (Beneficial ownership report) ,2024-11-27,"PGIM Private Real Estate Fund, Inc.  PGIM Strategic Investments, Inc. "
SC 13G (Beneficial ownership report) ,2024-11-27,"Sonder Holdings Inc.  (SOND, SONDW)  Gupta Prashant "
SC 13D/A (Beneficial ownership report) ,2024-11-27,"READING INTERNATIONAL INC  (RDI, RDIB)  GAMCO INVESTORS, INC. ET AL "
SC 13D/A (Beneficial ownership report) ,2024-11-27,"RESIDEO TECHNOLOGIES, INC.  (REZI)  CD&R Channel Holdings II, L.P. "
SC 13D/A (Beneficial ownership report) ,2024-11-27,"Vast Renewables Ltd  (VSTE, VSTEW)  AgCentral Energy Pty Ltd. "
SC 13G/A (Beneficial ownership report) ,2024-11-27,THUMZUP MEDIA Corp  (TZUP)  THOMAS JOE D 
SC 13D/A (Beneficial ownership report) ,2024-11-27,"NUSCALE POWER Corp  (SMR, SMR-WT)  Chubu Global Investment Americas Inc. "
SC 13D/A (Beneficial ownership report) ,2024-11-27,EMPIRE PETROLEUM CORP  (EP)  Mulacek Phil E 
SC 13D/A (Beneficial ownership report) ,2024-11-27,"Ainos, Inc.  (AIMD, AIMDW)  AINOS INC "
SC 13D/A (Beneficial ownership report) ,2024-11-27,"Senior Credit Investments, LLC  Abu Dhabi Investment Authority "
SC 13D/A (Beneficial ownership report) ,2024-11-27,"Independence Contract Drilling, Inc.  (ICDI)  MSD Partners, L.P. "
SC 13G (Beneficial ownership report) ,2024-11-27,"Savara Inc  (SVRA)  Frazier Life Sciences Public Fund, L.P. "
SC 13D/A (Beneficial ownership report) ,2024-11-27,"Rigetti Computing, Inc.  (RGTI, RGTIW)  Deer X & Co. L.P. "
SC 13G/A (Beneficial ownership report) ,2024-11-27,"INTEGRATED RAIL & RESOURCES ACQUISITION CORP  (IRRX, IRRXU, IRRXW)  WOLVERINE ASSET MANAGEMENT LLC "
SC 13G (Beneficial ownership report) ,2024-11-27,"Dynamix Corp  (DYNX, DYNXU)  Linden Capital L.P. "
SC 13G/A (Beneficial ownership report) ,2024-11-27,"Ocean Power Technologies, Inc.  (OPTT)  Alumni Capital LP "
SC 13G (Beneficial ownership report) ,2024-11-27,GLYCOMIMETICS INC  (GLYC)  Logos Global Management LP 
SC 13D/A (Beneficial ownership report) ,2024-11-27,"SLM Corp  (SLM, SLMBP)  Impactive Capital LP "
SC 13D/A (Beneficial ownership report) ,2024-11-27,QUAKER CHEMICAL CORP  (KWR)  Gulf Hungary Holding Korlatolt Felelossegu Tarsasag 
SC 13D/A (Beneficial ownership report) ,2024-11-26,AGL Private Credit Income Fund  Abu Dhabi Investment Authority 
SC 13D/A (Beneficial ownership report) ,2024-11-26,"NET Power Inc.  (NPWR, NPWR-WT)  8 Rivers Capital, LLC "
SC 13G/A (Beneficial ownership report) ,2024-11-26,THUMZUP MEDIA Corp  (TZUP)  THOMAS JOE D 
SC 13D/A (Beneficial ownership report) ,2024-11-26,"Compass Diversified Holdings  (CODI, CODI-PA, CODI-PB, CODI-PC)  CGI Magyar Holdings LLC "
SC 13D (Beneficial ownership report) ,2024-11-26,"CalciMedica, Inc.  (CALC)  Sanderling Venture Partners VI LP "
SC 13G (Beneficial ownership report) ,2024-11-26,WESTERN ASSET INFLATION-LINKED OPPORTUNITIES & INCOME FUND  (WIW)  MORGAN STANLEY 
SC 13D (Beneficial ownership report) ,2024-11-26,"BLACKROCK INCOME TRUST, INC.  (BKT)  SIT INVESTMENT ASSOCIATES INC "
SC 13D/A (Beneficial ownership report) ,2024-11-26,"Maxeon Solar Technologies, Ltd.  (MAXN)  Zhonghuan Singapore Investment & Development Pte. Ltd. "
SC 13G (Beneficial ownership report) ,2024-11-26,"Crescent Capital BDC, Inc.  (CCAP, FCRX)  Sun Life Assurance Co of Canada "
SC 13G (Beneficial ownership report) ,2024-11-26,Paranovus Entertainment Technology Ltd.  (PAVS)  Beta Vortex Ltd 
SC 13D/A (Beneficial ownership report) ,2024-11-26,QUAKER CHEMICAL CORP  (KWR)  Gulf Hungary Holding Korlatolt Felelossegu Tarsasag 
SC 13D/A (Beneficial ownership report) ,2024-11-26,HWH International Inc.  (HWH)  Chan Heng Fai Ambrose 
SC 13G (Beneficial ownership report) ,2024-11-26,"EBR Systems, Inc.  Split Rock Partners, LP "
SC 13G (Beneficial ownership report) ,2024-11-26,"EBR Systems, Inc.  Host-Plus Pty Ltd as trustee for the HOSTPLUS Pooled Superannuation Trust "
SC 13D (Beneficial ownership report) ,2024-11-26,Healthcare Realty Trust Inc  (HR)  Starboard Value LP 
SC 13D/A (Beneficial ownership report) ,2024-11-26,"SiriusPoint Ltd  (SPNT, SSPFF, SPNT-PB)  CM BERMUDA Ltd "
SC 13G (Beneficial ownership report) ,2024-11-26,SCWorx Corp.  (WORX)  Aramas Capital Holdings LLC 
SC 13G (Beneficial ownership report) ,2024-11-26,Paranovus Entertainment Technology Ltd.  (PAVS)  Tender Grass International Ltd 
SC 13D/A (Beneficial ownership report) ,2024-11-26,"CF BANKSHARES INC.  (CFBK)  Castle Creek Capital Partners VII, LP "
SC 13D/A (Beneficial ownership report) ,2024-11-26,"Saba Capital Income & Opportunities Fund II  (SABA)  Saba Capital Management, L.P. "
SC 13G (Beneficial ownership report) ,2024-11-26,DFP HOLDINGS Ltd  Leader Capital Holdings Corp. 
SC 13D/A (Beneficial ownership report) ,2024-11-26,"EnLink Midstream, LLC  (ENLC)  ONEOK INC /NEW/ "
SC 13D/A (Beneficial ownership report) ,2024-11-26,"New Mountain Finance Corp  (NMFC, NMFCZ)  KLINSKY STEVEN B "
SC 13D/A (Beneficial ownership report) ,2024-11-26,"DESTINATION XL GROUP, INC.  (DXLG)  Fund 1 Investments, LLC "
SC 13G (Beneficial ownership report) ,2024-11-26,"PACIFIC BIOSCIENCES OF CALIFORNIA, INC.  (PACB)  SOFTBANK GROUP CORP. "
SC 13D/A (Beneficial ownership report) ,2024-11-26,"LAZARD GLOBAL TOTAL RETURN & INCOME FUND INC  (LGI)  Saba Capital Management, L.P. "
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-11-26,CASSAVA SCIENCES INC  (SAVA)  Nachtrab Matthew 
SC 13D/A (Beneficial ownership report) ,2024-11-26,"Virtus Dividend, Interest & Premium Strategy Fund  (NFJ)  Saba Capital Management, L.P. "
SC 13D/A (Beneficial ownership report) ,2024-11-26,INNODATA INC  (INOD)  ABUHOFF JACK 
SCHEDULE 13G (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-11-26,"Rivulet Entertainment, Inc.  (RIVF)  Lawrence Silver M. "
SC 13D/A (Beneficial ownership report) ,2024-11-26,United Maritime Corp  (USEA)  Tsantanis Stamatios 
SC 13G/A (Beneficial ownership report) ,2024-11-26,Cohen & Steers Real Estate Opportunities & Income Fund  (RLTY)  MORGAN STANLEY 
SC 13D (Beneficial ownership report) ,2024-11-26,"Wilhelmina International, Inc.  (WHLM)  Steel Partners, Ltd. "
SC 13G/A (Beneficial ownership report) ,2024-11-26,"URBAN ONE, INC.  (UONE, UONEK)  TCS CAPITAL MANAGEMENT LLC "
SC 13D/A (Beneficial ownership report) ,2024-11-26,"GENERAL AMERICAN INVESTORS CO INC  (GAM, GAM-PB)  Saba Capital Management, L.P. "
SC 13D/A (Beneficial ownership report) ,2024-11-26,"PIONEER MUNICIPAL HIGH INCOME FUND, INC.  (MHI)  Saba Capital Management, L.P. "
